code,name,enname,pct_chg_exact,open,high,low,close,pre_close,change,amplitude,vol,amount,sector,limit_up_count,up_count,up_true_count,turnover_rate,volume_ratio,ma_3,pct_chg_3,ma_5,pct_chg_5,ma_10,pct_chg_10,,,,,
600581,八一钢铁,"Xinjiang Ba Yi Iron & Steel Co.,Ltd.",10.03,3.26,3.51,3.24,3.51,3.19,0.32,8.46,742708.46,253901.905,SH,1,2,2,4.8451,2.84,3.26,13.96,3.19,14.33,3.1,17.0,,,,,
600615,丰华股份,"Shanghai Fenghwa Group Co.,Ltd",9.98,8.72,9.7,8.72,9.7,8.82,0.88,11.11,122473.94,114124.86,SH,1,1,0,6.5276,1.44,9.16,4.53,9.13,13.85,8.95,21.71,,,,,
600678,四川金顶,"Sichuan Golden Summit(Group)Joint-Stock Co.,Ltd",10.0,4.6,5.06,4.6,5.06,4.6,0.46,10.0,134251.81,66716.509,SH,1,2,0,3.8469,6.48,4.75,9.76,4.7,10.72,4.65,9.05,,,,,
600801,华新水泥,"Huaxin Cement Co.,Ltd.",10.0,20.71,22.44,20.69,22.44,20.4,2.04,8.58,630841.9,1371338.107,SH,1,3,6,4.6321,3.3,21.01,11.42,20.7,14.9,20.14,14.67,,,,,
601003,柳钢股份,"Liuzhou Iron & Steel Co.,Ltd.",10.08,5.22,5.68,5.2,5.68,5.16,0.52,9.3,607020.35,339029.937,SH,1,2,2,2.3686,5.27,5.24,16.39,5.09,17.6,4.92,20.85,,,,,
601599,鹿港文化,"Jiangsu Lugang Culture Co., Ltd",10.06,3.5,3.5,3.5,3.5,3.18,0.32,0.0,82731.22,28955.927,SH,1,2,1,0.9267,0.3,3.26,13.27,3.21,21.53,3.02,23.67,,,,,
603123,翠微股份,"Beijing Cuiwei Tower Co., Ltd.",10.0,8.58,8.58,8.46,8.58,7.8,0.78,1.54,467827.35,401255.99,SH,2,2,2,8.9255,13.03,7.82,29.22,7.34,28.25,6.99,29.41,,,,,
603157,拉夏贝尔,"Shanghai La Chapelle Fashion Co., Ltd.",9.91,4.38,4.77,4.33,4.77,4.34,0.43,10.14,52639.44,24546.158,SH,1,3,1,3.6103,1.65,4.48,11.45,4.4,14.11,4.3,14.11,,,,,
603555,贵人鸟,"Guirenniao Co.,Ltd.",10.12,4.68,4.68,4.5,4.68,4.25,0.43,4.24,197820.36,92096.045,SH,3,5,3,3.147,2.69,4.26,33.33,3.95,38.87,3.7,36.84,,,,,
code,name,enname,pct_chg_exact,open,high,low,close,pre_close,change,amplitude,vol,amount,sector,limit_up_used,turnover_rate,volume_ratio,ma_3,pct_chg_3,ma_5,pct_chg_5,ma_10,pct_chg_10,,,,,,,
000018,神城A退,"Sino Great Wall Co., Ltd.",-9.76,0.74,0.74,0.74,0.74,0.82,-0.08,0.0,48.0,3.552,SZ,False,0.0005,0.0,0.81,-17.78,0.85,-23.71,0.88,-16.85,,,,,,,
000607,华媒控股,"Zhejiang Huamei Holding Co., Ltd.",-9.9,5.01,5.09,4.64,4.64,5.15,-0.51,8.74,303171.74,144653.353,SZ,False,3.4263,1.23,4.96,-14.23,5.14,-8.84,5.2,-10.42,,,,,,,
002063,远光软件,YGSOFT Inc.,-10.0,11.74,11.79,10.53,10.53,11.7,-1.17,10.77,696415.99,761808.209,SZ,False,9.0647,1.13,11.42,-6.48,11.42,-9.22,11.29,-0.85,,,,,,,
002199,东晶电子,"Zhejiang East Crystal Electronic Co., Ltd.",-9.99,11.53,11.53,11.53,11.53,12.81,-1.28,0.0,14221.0,16396.813,SZ,False,0.5842,0.1,12.14,-6.18,12.28,-4.79,11.99,0.96,,,,,,,
002235,安妮股份,"Xiamen Anne Co., Ltd.",-10.0,9.8,9.8,9.45,9.45,10.5,-1.05,3.33,191512.0,183593.462,SZ,False,3.6965,0.3,10.17,-8.52,10.25,-7.44,10.75,-18.53,,,,,,,
002247,聚力文化,"Zhejiang Juli Culture Development Co.,Ltd.",-10.06,3.46,3.51,3.22,3.22,3.58,-0.36,8.1,425258.89,139370.502,SZ,False,7.8098,0.5,3.45,-0.31,3.3,20.6,2.94,30.89,,,,,,,
002417,深南股份,"SUNA Co.,Ltd",-9.95,8.57,8.57,7.69,7.69,8.54,-0.85,10.3,263279.1,210698.28,SZ,False,11.4741,0.74,8.35,-16.86,8.54,-8.99,8.32,1.59,,,,,,,
002418,康盛股份,"Zhe Jiang Kangsheng Co.,Ltd",-9.86,3.46,3.68,3.29,3.29,3.65,-0.36,10.68,1170071.85,398304.625,SZ,False,11.6641,1.49,3.54,-1.5,3.4,13.06,3.17,26.05,,,,,,,
002502,鼎龙文化,"Dinglong Culture Co.,Ltd.",-10.0,3.85,3.92,3.6,3.6,4.0,-0.4,8.0,820072.74,298743.744,SZ,False,11.7454,0.65,3.94,-14.49,3.97,3.45,3.46,39.53,,,,,,,
002528,英飞拓,Shenzhen Infinova Limited,-9.93,5.81,5.82,5.35,5.35,5.94,-0.59,7.91,553560.14,301790.903,SZ,False,5.2936,0.99,5.68,-10.83,5.7,8.08,5.43,-6.47,,,,,,,
002819,东方中科,"Beijing Oriental Jicheng  Co., Ltd.",-10.01,29.0,29.15,26.06,26.06,28.96,-2.9,10.67,71905.8,196153.144,SZ,False,5.168,0.61,28.2,-11.81,28.56,-10.63,28.61,5.72,,,,,,,
300004,南风股份,"Nanfang Ventilator Co., Ltd.",-10.0,6.67,6.72,6.12,6.12,6.8,-0.68,8.82,209159.0,131552.853,GEB,False,5.3331,0.71,6.61,-10.53,6.58,-2.7,6.39,9.09,,,,,,,
300044,赛为智能,"Shenzhen Sunwin Intelligent Co.,Ltd.",-10.03,6.45,6.47,5.83,5.83,6.48,-0.65,9.88,233622.48,140136.031,GEB,False,4.412,3.62,6.25,-9.75,6.36,-9.75,6.4,-10.45,,,,,,,
300345,红宇新材,"Honyu Wear-Resistant New Materials Co., Ltd.",-9.95,9.05,9.05,9.05,9.05,10.05,-1.0,0.0,13369.0,12098.945,GEB,False,0.4183,0.19,10.09,-27.07,11.29,-27.83,11.85,-23.37,,,,,,,
300449,汉邦高科,Beijing Hanbang Technology Corp.,-9.99,13.72,13.99,12.07,12.07,13.41,-1.34,14.32,164911.1,204087.073,GEB,False,6.6508,1.02,13.02,-14.4,13.42,-7.3,13.62,-14.52,,,,,,,
300541,先进数通,"Beijing Advanced Digital Technology Co., Ltd.",-10.0,22.97,23.18,21.25,21.25,23.61,-2.36,8.17,149847.55,325395.047,GEB,False,8.3284,0.72,23.14,-11.64,23.46,-9.92,23.32,-19.78,,,,,,,
300579,数字认证,"Beijing Certificate Authority Co., Ltd.",-9.99,42.51,42.95,39.2,39.2,43.55,-4.35,8.61,95747.51,384980.373,GEB,False,14.4913,0.89,42.94,-13.79,43.67,-11.07,44.33,-16.97,,,,,,,
300672,国科微,"Hunan Goke Microelectronics Co., Ltd.",-9.99,39.3,39.82,35.85,35.85,39.83,-3.98,9.97,57111.25,210161.52,GEB,False,5.2136,1.58,38.39,-9.06,38.96,-10.62,38.87,-3.42,,,,,,,
300790,宇瞳光学,"DongGuan YuTong Optical Technology Co.,Ltd.",-9.99,50.01,50.5,45.41,45.41,50.45,-5.04,10.09,54912.37,256192.588,GEB,False,19.2136,0.81,49.39,-12.0,50.39,-9.27,50.6,-13.47,,,,,,,
300793,佳禾智能,"Cosonic Intelligent Technologies Co., Ltd.",-10.01,58.58,58.7,53.33,53.33,59.26,-5.93,9.06,113587.76,624768.413,GEB,False,27.2523,0.87,56.94,-10.98,58.55,-11.43,61.99,-22.7,,,,,,,
300799,左江科技,"Beijing Zuojiang Technology Co., Ltd",-10.0,145.07,145.44,137.66,137.66,152.95,-15.29,5.09,19759.0,277911.089,GEB,False,11.6229,0.39,146.39,-3.14,142.1,17.21,120.02,88.76,,,,,,,
600093,易见股份,"Easy Visible Supply Chain Management Co.,Ltd.",-9.98,18.17,18.17,16.87,16.87,18.74,-1.87,6.94,710436.48,1212156.713,SH,False,6.3294,0.96,18.0,-8.86,18.07,-0.94,17.69,-1.58,,,,,,,
600223,鲁商发展,"Lushang Health Industry Development Co.,Ltd.",-9.94,6.06,6.27,5.71,5.71,6.34,-0.63,8.83,777916.64,459761.758,SH,False,7.7716,0.93,6.07,1.96,5.94,-3.38,5.77,5.94,,,,,,,
600290,华仪电气,Huayi Electric Company Limited,-9.97,3.43,3.43,3.43,3.43,3.81,-0.38,0.0,165908.0,56906.444,SH,False,2.1833,2.41,3.69,-8.53,3.71,-7.8,3.74,-10.44,,,,,,,
600455,博通股份,"But'one Information Corporation, Xi'an",-10.0,38.19,38.19,34.38,34.38,38.2,-3.82,9.97,27217.86,96663.061,SH,False,4.3578,0.45,37.86,-7.78,37.98,-3.15,36.22,6.28,,,,,,,
603226,菲林格尔,"Vohringer Home Technology Co., Ltd.",-10.01,24.8,24.8,24.8,24.8,27.56,-2.76,0.0,1303.0,3231.44,SH,False,0.3294,0.05,27.66,-27.1,30.71,-32.99,33.62,-24.6,,,,,,,
603690,至纯科技,"Pnc Process Systems Co., Ltd",-10.01,25.37,25.38,22.93,22.93,25.48,-2.55,9.62,98687.93,232989.531,SH,False,10.7065,1.04,24.84,-8.24,25.02,-7.09,24.59,-4.46,,,,,,,
603927,中科软,"Sinosoft Co., Ltd.",-10.0,86.86,87.45,78.31,78.31,87.01,-8.7,10.5,109267.15,882404.618,SH,False,25.7706,1.23,83.37,-9.47,84.9,-8.66,84.62,-3.46,,,,,,,
603976,正川股份,"ChongQing Zhengchuan Pharmaceutical Packaging Co.,Ltd.",-10.01,26.79,26.79,26.79,26.79,29.77,-2.98,0.0,3476.0,9312.204,SH,False,0.9076,0.05,29.88,-15.22,29.99,-1.69,27.4,18.12,,,,,,,
code,name,enname,pct_chg_exact,limit_up_count,up_count,up_true_count,open,high,low,close,pre_close,change,amplitude,vol,amount,sector,turnover_rate,volume_ratio,ma_3,pct_chg_3,ma_5,pct_chg_5,ma_10,pct_chg_10,,,,,
000609,中迪投资,"Beijing Zodi Investment Co., Ltd.",9.96,3,6,6,5.85,5.85,5.79,5.85,5.32,0.53,1.13,405394.39,237142.143,SZ,13.8846,10.9,5.34,32.95,4.95,37.97,4.61,37.0,,,,,
000835,长城动漫,"Great Wall International Acg Co., Ltd.",9.96,5,6,4,4.86,5.3,4.34,5.3,4.82,0.48,19.92,751925.19,363703.62,SZ,24.8246,2.8,4.83,33.17,4.42,61.09,3.82,66.14,,,,,
002703,浙江世宝,Zhejiang Shibao Company Limited,10.02,2,2,3,5.02,5.27,4.9,5.27,4.79,0.48,7.72,435286.79,223637.238,SZ,7.8704,10.42,4.8,20.05,4.64,21.15,4.46,22.27,,,,,
002721,金一文化,"Beijing Kingee Culture Development Co.,Ltd.",9.94,2,2,2,5.6,5.75,5.44,5.75,5.23,0.52,5.93,368093.27,208263.639,SZ,5.9282,3.38,5.24,19.05,5.04,26.1,4.84,21.82,,,,,
002967,广电计量,"Guangzhou Grg Metrology & Test Co.,Ltd.",10.0,3,3,3,28.5,30.58,26.95,30.58,27.8,2.78,13.06,601236.81,1740913.414,SZ,72.7273,5.02,27.88,33.13,25.5,61.12,20.66,159.81,,,,,
300221,银禧科技,"Guangdong Silver Age Sci & Tech Co.,Ltd.",10.05,3,3,2,5.66,6.02,5.56,6.02,5.47,0.55,8.41,740039.81,432117.801,GEB,18.0181,8.53,5.49,33.19,5.12,34.98,4.85,26.21,,,,,
300341,麦克奥迪,"Motic (Xiamen) Electric Group Co.,Ltd",10.02,7,8,8,13.95,13.95,13.95,13.95,12.68,1.27,0.0,71072.41,99146.011,GEB,1.3946,2.35,12.72,33.11,11.63,61.09,9.58,105.75,,,,,
600105,永鼎股份,JIANGSU ETERN COMPANY LIMITED,10.03,2,2,2,4.25,4.39,4.05,4.39,3.99,0.4,8.52,774848.49,326822.478,SH,6.2575,7.24,4.0,19.95,3.88,21.27,3.76,17.38,,,,,
600397,安源煤业,"Anyuan Coal Industry Group Co., Ltd.",10.18,4,6,4,2.98,3.03,2.95,3.03,2.75,0.28,2.91,460442.48,139215.083,SH,4.6511,1.35,2.76,33.48,2.52,51.5,2.26,50.75,,,,,
603123,翠微股份,"Beijing Cuiwei Tower Co., Ltd.",10.0,2,2,2,8.58,8.58,8.46,8.58,7.8,0.78,1.54,467827.35,401255.99,SH,8.9255,13.03,7.82,29.22,7.34,28.25,6.99,29.41,,,,,
603555,贵人鸟,"Guirenniao Co.,Ltd.",10.12,3,5,3,4.68,4.68,4.5,4.68,4.25,0.43,4.24,197820.36,92096.045,SH,3.147,2.69,4.26,33.33,3.95,38.87,3.7,36.84,,,,,
code,name,enname,pct_chg_exact,limit_up_count,up_count,up_true_count,limit_up_used,open,high,low,close,pre_close,change,amplitude,vol,amount,sector,turnover_rate,volume_ratio,ma_3,pct_chg_3,ma_5,pct_chg_5,ma_10,pct_chg_10,,,,
000002,万科A,"China Vanke Co.,Ltd.",6.07,0,3,2,False,27.3,28.65,27.3,28.65,27.01,1.64,5.0,1368032.57,3856258.081,SZ,1.4081,2.65,27.47,7.5,27.16,8.44,26.75,8.61,,,,
000006,深振业A,"Shenzhen Zhenye(Group) Co.,Ltd.",1.56,0,2,0,False,5.12,5.22,5.08,5.2,5.12,0.08,2.73,63296.29,32707.286,SZ,0.4694,1.61,5.14,1.56,5.14,2.36,5.11,1.17,,,,
000008,神州高铁,"China High Speed Railway Technology Co., Ltd.",2.34,0,2,2,False,3.44,3.53,3.44,3.5,3.42,0.08,2.63,237752.63,82806.798,SZ,0.9166,1.62,3.44,2.34,3.43,5.11,3.39,3.86,,,,
000019,深粮控股,"SHENZHEN CEREALS HOLDINGS CO.,LTD.",0.68,0,2,3,False,5.85,5.88,5.77,5.88,5.84,0.04,1.88,23062.03,13465.05,SZ,0.5545,1.16,5.85,0.0,5.88,0.51,5.87,0.17,,,,
000030,富奥股份,FAWER Automotive Parts Limited Company,0.67,0,2,2,False,4.48,4.5,4.41,4.5,4.47,0.03,2.01,14045.5,6271.618,SZ,0.0798,0.77,4.48,0.0,4.5,-1.53,4.52,1.12,,,,
000031,大悦城,"Grandjoy Holdings Group Co.,Ltd.",0.14,0,2,0,False,7.12,7.37,7.11,7.16,7.15,0.01,3.64,181440.72,131421.842,SZ,1.0004,2.37,7.15,0.0,7.16,2.87,7.05,3.62,,,,
000036,华联控股,China Union Holdings Ltd.,3.42,0,2,2,False,3.81,3.96,3.78,3.93,3.8,0.13,4.74,92704.75,36115.737,SZ,0.6285,2.62,3.83,4.24,3.82,2.88,3.82,1.03,,,,
000042,中洲控股,"SHENZHEN CENTRALCON INVESTMENT HOLDING CO., LTD",3.73,0,2,4,False,10.0,10.33,9.93,10.3,9.93,0.37,4.03,32061.24,32611.81,SZ,0.4842,2.67,10.02,2.79,10.01,5.32,9.87,7.07,,,,
000060,中金岭南,Shenzhen Zhongjin Lingnan Nonfemet Co. Ltd.,2.8,0,2,0,False,3.91,4.06,3.91,4.04,3.93,0.11,3.82,247943.62,99481.493,SZ,0.6949,2.63,3.96,3.32,3.94,3.86,3.91,2.8,,,,
000065,北方国际,NORINCO International Cooperation Ltd.,2.0,0,2,0,False,7.96,8.2,7.93,8.17,8.01,0.16,3.37,30529.53,24770.949,SZ,0.4854,1.87,8.04,2.77,8.03,3.68,8.0,1.11,,,,
000090,天健集团,"Shenzhen Tagen Group Co., Ltd.",0.79,0,3,0,False,5.09,5.15,5.06,5.13,5.09,0.04,1.77,58700.81,30007.611,SZ,0.3142,1.19,5.09,1.58,5.08,1.18,5.07,1.58,,,,
000096,广聚能源,"Shenzhen Guangju Energy Co.,Ltd.",2.33,0,3,0,False,9.8,10.38,9.51,10.1,9.87,0.23,8.81,23730.92,23818.974,SZ,0.4645,1.93,9.83,6.2,9.75,5.76,9.69,5.32,,,,
000151,中成股份,China National Complete Plant Import & Export Corporation Limited,0.93,0,3,2,False,9.72,9.83,9.66,9.79,9.7,0.09,1.75,24775.84,24202.994,SZ,0.9295,1.24,9.72,1.35,9.72,0.41,9.71,5.16,,,,
000159,国际实业,"Xinjiang International Industry Co.,Ltd",0.9,0,3,0,False,5.56,5.8,5.41,5.61,5.56,0.05,7.01,128074.16,71807.667,SZ,2.6644,1.54,5.57,2.75,5.55,4.28,5.51,-5.08,,,,
000301,东方盛虹,"Jiangsu Eastern Shenghong Co.,Ltd.",0.6,0,3,3,False,5.0,5.01,4.96,5.01,4.98,0.03,1.0,35176.94,17543.71,SZ,0.2888,0.84,4.99,1.21,4.99,1.01,4.99,-0.2,,,,
000338,潍柴动力,"Weichai Power Co.,Ltd.",4.61,0,2,1,False,13.04,13.44,13.0,13.38,12.79,0.59,3.44,1053663.34,1399279.45,SZ,2.4821,2.06,12.97,4.69,12.95,2.37,12.82,5.44,,,,
000401,冀东水泥,"Tangshan Jidong Cement Co.,Ltd.",5.26,0,2,0,False,14.46,15.24,14.46,15.22,14.46,0.76,5.39,508651.08,764677.317,SZ,3.7756,2.09,14.68,4.68,14.67,7.18,14.39,11.83,,,,
000415,渤海租赁,"Bohai Leasing Co.,Ltd.",1.72,0,3,0,False,3.48,3.54,3.45,3.54,3.48,0.06,2.59,180005.19,63154.653,SZ,0.5074,1.68,3.49,2.61,3.48,2.91,3.46,1.72,,,,
000417,合肥百货,"Hefei Department Store Group Co.,Ltd",1.41,0,2,2,False,4.28,4.33,4.26,4.33,4.27,0.06,1.64,15679.19,6750.091,SZ,0.2013,1.36,4.29,1.41,4.28,1.64,4.28,-0.23,,,,
000426,兴业矿业,"Inner Mongolia Xingye Mining Co.,Ltd",2.13,0,3,2,False,4.24,4.36,4.21,4.32,4.23,0.09,3.55,125558.45,53964.279,SZ,0.9666,1.25,4.26,2.61,4.24,4.35,4.23,0.93,,,,
000429,粤高速A,"Guangdong Provincial Expressway Development Co.,Ltd.",0.5,0,2,0,False,7.98,8.02,7.93,8.02,7.98,0.04,1.13,14592.12,11655.27,SZ,0.112,1.2,7.99,0.38,7.99,0.25,7.99,-0.12,,,,
000498,山东路桥,"Shandong Hi-Speed Road&Bridge Co.,Ltd.",2.44,0,2,0,False,4.5,4.61,4.47,4.61,4.5,0.11,3.11,65887.42,30098.526,SZ,0.5882,2.79,4.53,2.9,4.52,2.67,4.52,1.99,,,,
000501,鄂武商A,"Wuhan Department Store Group Co., Ltd.",1.32,0,3,0,False,10.6,10.76,10.5,10.75,10.61,0.14,2.45,39785.63,42517.026,SZ,0.5182,1.9,10.64,2.97,10.56,3.97,10.43,4.07,,,,
000507,珠海港,"Zhuhai Port Co., Ltd",1.49,0,2,0,False,6.0,6.2,5.98,6.12,6.03,0.09,3.65,163020.18,99472.23,SZ,2.1113,1.59,6.02,3.55,6.0,2.34,5.94,6.07,,,,
000517,荣安地产,"Rongan Property Co., Ltd.",2.71,0,2,0,False,2.57,2.77,2.56,2.65,2.58,0.07,8.14,229788.09,61323.623,SZ,0.757,3.71,2.59,3.92,2.58,4.74,2.56,3.52,,,,
000528,柳工,"Guangxi Liugong Machinery Co.,Ltd.",3.81,0,3,0,False,6.26,6.54,6.25,6.54,6.3,0.24,4.6,377196.28,243583.707,SZ,2.5789,4.25,6.36,5.14,6.31,5.14,6.27,4.14,,,,
000530,大冷股份,"Dalian Refrigeration Co., Ltd.",0.82,0,2,0,False,3.65,3.69,3.6,3.68,3.65,0.03,2.47,27845.95,10172.922,SZ,0.4658,1.08,3.66,1.1,3.66,1.1,3.64,0.55,,,,
000534,万泽股份,"Wedge Industrial Co.,Ltd.",0.34,0,3,1,False,9.0,9.06,8.85,8.98,8.95,0.03,2.35,15800.99,14199.469,SZ,0.3216,0.68,8.95,2.05,8.95,2.98,8.8,6.78,,,,
000543,皖能电力,An Hui Wenergy Company Limited,1.51,0,7,3,False,4.65,4.73,4.63,4.71,4.64,0.07,2.16,108279.05,50875.85,SZ,0.6048,1.2,4.66,3.06,4.62,4.9,4.55,4.43,,,,
000552,靖远煤电,"Gansu Jingyuan Coal Industry and Electricity Power Co.,Ltd",4.38,0,3,0,False,2.51,2.64,2.5,2.62,2.51,0.11,5.58,292605.23,75769.471,SZ,1.2813,3.07,2.53,7.82,2.49,8.71,2.45,8.71,,,,
000553,安道麦A,ADAMA Ltd.,2.17,0,4,0,False,9.68,9.96,9.66,9.89,9.68,0.21,3.1,38514.67,38013.716,SZ,0.8219,1.65,9.75,2.49,9.7,2.59,9.66,6.57,,,,
000554,泰山石油,"SINOPEC Shandong Taishan Petroleum CO.,LTD",1.08,0,3,0,False,4.62,4.73,4.61,4.7,4.65,0.05,2.58,46544.07,21805.686,SZ,1.2834,1.65,4.66,2.84,4.63,3.07,4.6,1.73,,,,
000559,万向钱潮,"Wanxiang Qianchao Co.,Ltd.",0.39,0,3,0,False,5.1,5.13,5.06,5.12,5.1,0.02,1.37,27937.23,14256.147,SZ,0.1015,0.88,5.1,1.19,5.1,0.39,5.1,-1.16,,,,
000560,我爱我家,"5I5J Holding Group Co., Ltd.",2.24,0,2,2,False,4.49,4.65,4.44,4.57,4.47,0.1,4.7,230390.8,104734.221,SZ,1.2816,1.6,4.46,3.16,4.42,7.53,4.34,8.55,,,,
000561,烽火电子,"Shaanxi Fenghuo Electronics Co., Ltd.",1.06,0,3,0,False,6.57,6.85,6.52,6.68,6.61,0.07,4.99,147644.88,98862.641,SZ,2.4752,3.41,6.5,9.51,6.36,9.33,6.24,7.22,,,,
